Collection,ItemId,SourceId,SourceDescription
Bardings,24800,595,Kugane Ohashi
Bardings,32824,760,Delubrum Reginae
Emotes,24222,268,The Lost Canals of Uznair
Emotes,24222,586,The Shifting Altars of Uznair
Emotes,32830,745,The Shifting Oubliettes of Lyhe Ghiah
Glamour,34926,791,The Minstrel's Ballad: Hydaelyn's Call
Glamour,34927,791,The Minstrel's Ballad: Hydaelyn's Call
Glamour,34928,791,The Minstrel's Ballad: Hydaelyn's Call
Glamour,34929,791,The Minstrel's Ballad: Hydaelyn's Call
Glamour,34930,791,The Minstrel's Ballad: Hydaelyn's Call
Glamour,34931,791,The Minstrel's Ballad: Hydaelyn's Call
Glamour,34932,791,The Minstrel's Ballad: Hydaelyn's Call
Glamour,34933,791,The Minstrel's Ballad: Hydaelyn's Call
Glamour,34934,791,The Minstrel's Ballad: Hydaelyn's Call
Glamour,34935,791,The Minstrel's Ballad: Hydaelyn's Call
Glamour,34936,791,The Minstrel's Ballad: Hydaelyn's Call
Glamour,34937,791,The Minstrel's Ballad: Hydaelyn's Call
Glamour,34938,791,The Minstrel's Ballad: Hydaelyn's Call
Glamour,34939,791,The Minstrel's Ballad: Hydaelyn's Call
Glamour,34940,791,The Minstrel's Ballad: Hydaelyn's Call
Glamour,34941,791,The Minstrel's Ballad: Hydaelyn's Call
Glamour,34942,791,The Minstrel's Ballad: Hydaelyn's Call
Glamour,35246,801,Asphodelos: The Fourth Circle (Savage)
Glamour,35247,801,Asphodelos: The Fourth Circle (Savage)
Glamour,35248,801,Asphodelos: The Fourth Circle (Savage)
Glamour,35249,801,Asphodelos: The Fourth Circle (Savage)
Glamour,35250,801,Asphodelos: The Fourth Circle (Savage)
Glamour,35251,801,Asphodelos: The Fourth Circle (Savage)
Glamour,35252,801,Asphodelos: The Fourth Circle (Savage)
Glamour,35253,801,Asphodelos: The Fourth Circle (Savage)
Glamour,35254,801,Asphodelos: The Fourth Circle (Savage)
Glamour,35255,801,Asphodelos: The Fourth Circle (Savage)
Glamour,35256,801,Asphodelos: The Fourth Circle (Savage)
Glamour,35257,801,Asphodelos: The Fourth Circle (Savage)
Glamour,35258,801,Asphodelos: The Fourth Circle (Savage)
Glamour,35259,801,Asphodelos: The Fourth Circle (Savage)
Glamour,35260,801,Asphodelos: The Fourth Circle (Savage)
Glamour,35261,801,Asphodelos: The Fourth Circle (Savage)
Glamour,35262,801,Asphodelos: The Fourth Circle (Savage)
Glamour,35263,801,Asphodelos: The Fourth Circle (Savage)
Glamour,36924,846,The Minstrel's Ballad: Endsinger's Aria
Glamour,36925,846,The Minstrel's Ballad: Endsinger's Aria
Glamour,36926,846,The Minstrel's Ballad: Endsinger's Aria
Glamour,36927,846,The Minstrel's Ballad: Endsinger's Aria
Glamour,36928,846,The Minstrel's Ballad: Endsinger's Aria
Glamour,36930,846,The Minstrel's Ballad: Endsinger's Aria
Glamour,36931,846,The Minstrel's Ballad: Endsinger's Aria
Glamour,36932,846,The Minstrel's Ballad: Endsinger's Aria
Glamour,36934,846,The Minstrel's Ballad: Endsinger's Aria
Glamour,36935,846,The Minstrel's Ballad: Endsinger's Aria
Glamour,36937,846,The Minstrel's Ballad: Endsinger's Aria
Glamour,36938,846,The Minstrel's Ballad: Endsinger's Aria
Glamour,36939,846,The Minstrel's Ballad: Endsinger's Aria
Glamour,36940,846,The Minstrel's Ballad: Endsinger's Aria
Glamour,36941,846,The Minstrel's Ballad: Endsinger's Aria
Glamour,37131,866,Aglaia
Glamour,37132,866,Aglaia
Glamour,37133,866,Aglaia
Glamour,37134,866,Aglaia
Glamour,37135,866,Aglaia
Glamour,37136,866,Aglaia
Glamour,37137,866,Aglaia
Glamour,37138,866,Aglaia
Glamour,37139,866,Aglaia
Glamour,37140,866,Aglaia
Glamour,37141,866,Aglaia
Glamour,37142,866,Aglaia
Glamour,37143,866,Aglaia
Glamour,37144,866,Aglaia
Glamour,37145,866,Aglaia
Glamour,37146,866,Aglaia
Glamour,37147,866,Aglaia
Glamour,37148,866,Aglaia
Glamour,37149,866,Aglaia
Glamour,37150,866,Aglaia
Glamour,37151,866,Aglaia
Glamour,37152,866,Aglaia
Glamour,37153,866,Aglaia
Glamour,37155,866,Aglaia
Glamour,37156,866,Aglaia
Glamour,37157,866,Aglaia
Glamour,37158,866,Aglaia
Glamour,37159,866,Aglaia
Glamour,37160,866,Aglaia
Glamour,37161,866,Aglaia
Glamour,37162,866,Aglaia
Glamour,37163,866,Aglaia
Glamour,37164,866,Aglaia
Glamour,37165,866,Aglaia
Glamour,37166,844,Alzadaal's Legacy (Duty)
Glamour,37167,844,Alzadaal's Legacy (Duty)
Glamour,37168,844,Alzadaal's Legacy (Duty)
Glamour,37170,844,Alzadaal's Legacy (Duty)
Glamour,37172,844,Alzadaal's Legacy (Duty)
Glamour,37173,844,Alzadaal's Legacy (Duty)
Glamour,37174,844,Alzadaal's Legacy (Duty)
Glamour,37175,844,Alzadaal's Legacy (Duty)
Glamour,37176,844,Alzadaal's Legacy (Duty)
Glamour,37178,844,Alzadaal's Legacy (Duty)
Glamour,37179,844,Alzadaal's Legacy (Duty)
Glamour,37180,844,Alzadaal's Legacy (Duty)
Glamour,37181,844,Alzadaal's Legacy (Duty)
Glamour,37182,844,Alzadaal's Legacy (Duty)
Glamour,37184,844,Alzadaal's Legacy (Duty)
Glamour,37185,844,Alzadaal's Legacy (Duty)
Glamour,37186,844,Alzadaal's Legacy (Duty)
Glamour,37187,844,Alzadaal's Legacy (Duty)
Glamour,37188,844,Alzadaal's Legacy (Duty)
Glamour,37190,844,Alzadaal's Legacy (Duty)
Glamour,37191,844,Alzadaal's Legacy (Duty)
Glamour,37192,844,Alzadaal's Legacy (Duty)
Glamour,37193,844,Alzadaal's Legacy (Duty)
Glamour,37194,844,Alzadaal's Legacy (Duty)
Glamour,37196,844,Alzadaal's Legacy (Duty)
Glamour,37197,844,Alzadaal's Legacy (Duty)
Glamour,37198,844,Alzadaal's Legacy (Duty)
Glamour,37199,844,Alzadaal's Legacy (Duty)
Glamour,37200,844,Alzadaal's Legacy (Duty)
Glamour,37202,844,Alzadaal's Legacy (Duty)
Glamour,37203,844,Alzadaal's Legacy (Duty)
Glamour,37204,844,Alzadaal's Legacy (Duty)
Glamour,37205,844,Alzadaal's Legacy (Duty)
Glamour,37206,844,Alzadaal's Legacy (Duty)
Glamour,37857,871,Storm's Crown (Extreme)
Glamour,37858,871,Storm's Crown (Extreme)
Glamour,37859,871,Storm's Crown (Extreme)
Glamour,37861,871,Storm's Crown (Extreme)
Glamour,37862,871,Storm's Crown (Extreme)
Glamour,37863,871,Storm's Crown (Extreme)
Glamour,37864,871,Storm's Crown (Extreme)
Glamour,37866,871,Storm's Crown (Extreme)
Glamour,37867,871,Storm's Crown (Extreme)
Glamour,37871,871,Storm's Crown (Extreme)
Glamour,37873,871,Storm's Crown (Extreme)
Glamour,37874,871,Storm's Crown (Extreme)
Glamour,38082,884,Abyssos: The Eighth Circle (Savage)
Glamour,38083,884,Abyssos: The Eighth Circle (Savage)
Glamour,38084,884,Abyssos: The Eighth Circle (Savage)
Glamour,38085,884,Abyssos: The Eighth Circle (Savage)
Glamour,38086,884,Abyssos: The Eighth Circle (Savage)
Glamour,38087,884,Abyssos: The Eighth Circle (Savage)
Glamour,38088,884,Abyssos: The Eighth Circle (Savage)
Glamour,38089,884,Abyssos: The Eighth Circle (Savage)
Glamour,38090,884,Abyssos: The Eighth Circle (Savage)
Glamour,38091,884,Abyssos: The Eighth Circle (Savage)
Glamour,38093,884,Abyssos: The Eighth Circle (Savage)
Glamour,38094,884,Abyssos: The Eighth Circle (Savage)
Glamour,38095,884,Abyssos: The Eighth Circle (Savage)
Glamour,38096,884,Abyssos: The Eighth Circle (Savage)
Glamour,38097,884,Abyssos: The Eighth Circle (Savage)
Glamour,38098,884,Abyssos: The Eighth Circle (Savage)
Glamour,38099,884,Abyssos: The Eighth Circle (Savage)
Glamour,38156,869,The Fell Court of Troia
Glamour,38157,869,The Fell Court of Troia
Glamour,38158,869,The Fell Court of Troia
Glamour,38159,869,The Fell Court of Troia
Glamour,38160,869,The Fell Court of Troia
Glamour,38161,869,The Fell Court of Troia
Glamour,38162,869,The Fell Court of Troia
Glamour,38163,869,The Fell Court of Troia
Glamour,38164,869,The Fell Court of Troia
Glamour,38165,869,The Fell Court of Troia
Glamour,38166,869,The Fell Court of Troia
Glamour,38167,869,The Fell Court of Troia
Glamour,38169,869,The Fell Court of Troia
Glamour,38170,869,The Fell Court of Troia
Glamour,38171,869,The Fell Court of Troia
Glamour,38172,869,The Fell Court of Troia
Glamour,38173,869,The Fell Court of Troia
Glamour,38174,869,The Fell Court of Troia
Glamour,38175,869,The Fell Court of Troia
Glamour,38176,869,The Fell Court of Troia
Glamour,38177,869,The Fell Court of Troia
Glamour,38179,869,The Fell Court of Troia
Glamour,38180,869,The Fell Court of Troia
Glamour,38181,869,The Fell Court of Troia
Glamour,38182,869,The Fell Court of Troia
Glamour,38183,869,The Fell Court of Troia
Glamour,38184,869,The Fell Court of Troia
Glamour,38185,869,The Fell Court of Troia
Glamour,38187,869,The Fell Court of Troia
Glamour,38188,869,The Fell Court of Troia
Glamour,38189,869,The Fell Court of Troia
Glamour,38190,869,The Fell Court of Troia
Glamour,38957,896,Lapis Manalis
Glamour,38958,896,Lapis Manalis
Glamour,38959,896,Lapis Manalis
Glamour,38960,896,Lapis Manalis
Glamour,38961,896,Lapis Manalis
Glamour,38962,896,Lapis Manalis
Glamour,38963,896,Lapis Manalis
Glamour,38964,896,Lapis Manalis
Glamour,38965,896,Lapis Manalis
Glamour,38966,896,Lapis Manalis
Glamour,38967,896,Lapis Manalis
Glamour,38968,896,Lapis Manalis
Glamour,38969,896,Lapis Manalis
Glamour,38970,896,Lapis Manalis
Glamour,38971,896,Lapis Manalis
Glamour,38972,896,Lapis Manalis
Glamour,38973,896,Lapis Manalis
Glamour,38974,896,Lapis Manalis
Glamour,38975,896,Lapis Manalis
Glamour,38976,896,Lapis Manalis
Glamour,38977,896,Lapis Manalis
Glamour,38978,896,Lapis Manalis
Glamour,38979,896,Lapis Manalis
Glamour,38980,896,Lapis Manalis
Glamour,38981,896,Lapis Manalis
Glamour,38982,896,Lapis Manalis
Glamour,38983,896,Lapis Manalis
Glamour,38984,896,Lapis Manalis
Glamour,38985,896,Lapis Manalis
Glamour,38986,896,Lapis Manalis
Glamour,38987,896,Lapis Manalis
Glamour,38988,896,Lapis Manalis
Glamour,38989,896,Lapis Manalis
Glamour,38990,896,Lapis Manalis
Glamour,38991,896,Lapis Manalis
Glamour,39091,911,Euphrosyne
Glamour,39092,911,Euphrosyne
Glamour,39095,911,Euphrosyne
Glamour,39096,911,Euphrosyne
Glamour,39097,911,Euphrosyne
Glamour,39099,911,Euphrosyne
Glamour,39100,911,Euphrosyne
Glamour,39102,911,Euphrosyne
Glamour,39103,911,Euphrosyne
Glamour,39104,911,Euphrosyne
Glamour,39105,911,Euphrosyne
Glamour,39106,911,Euphrosyne
Glamour,39107,911,Euphrosyne
Glamour,39108,911,Euphrosyne
Glamour,39110,911,Euphrosyne
Glamour,39111,911,Euphrosyne
Glamour,39112,911,Euphrosyne
Glamour,39115,911,Euphrosyne
Glamour,39116,911,Euphrosyne
Glamour,39117,911,Euphrosyne
Glamour,39118,911,Euphrosyne
Glamour,39119,911,Euphrosyne
Glamour,39120,911,Euphrosyne
Glamour,39121,911,Euphrosyne
Glamour,39122,911,Euphrosyne
Glamour,39125,924,Mount Ordeals (Extreme)
Glamour,39126,924,Mount Ordeals (Extreme)
Glamour,39127,924,Mount Ordeals (Extreme)
Glamour,39128,924,Mount Ordeals (Extreme)
Glamour,39129,924,Mount Ordeals (Extreme)
Glamour,39131,924,Mount Ordeals (Extreme)
Glamour,39132,924,Mount Ordeals (Extreme)
Glamour,39135,924,Mount Ordeals (Extreme)
Glamour,39136,924,Mount Ordeals (Extreme)
Glamour,39137,924,Mount Ordeals (Extreme)
Glamour,39138,924,Mount Ordeals (Extreme)
Glamour,39139,924,Mount Ordeals (Extreme)
Glamour,39140,924,Mount Ordeals (Extreme)
Glamour,39141,924,Mount Ordeals (Extreme)
Glamour,39142,924,Mount Ordeals (Extreme)
Glamour,39184,897,Eureka Orthos
Glamour,39185,897,Eureka Orthos
Glamour,39186,897,Eureka Orthos
Glamour,39187,897,Eureka Orthos
Glamour,39188,897,Eureka Orthos
Glamour,39189,897,Eureka Orthos
Glamour,39190,897,Eureka Orthos
Glamour,39192,897,Eureka Orthos
Glamour,39193,897,Eureka Orthos
Glamour,39194,897,Eureka Orthos
Glamour,39195,897,Eureka Orthos
Glamour,39196,897,Eureka Orthos
Glamour,39197,897,Eureka Orthos
Glamour,39198,897,Eureka Orthos
Glamour,39199,897,Eureka Orthos
Glamour,39200,897,Eureka Orthos
Glamour,39201,897,Eureka Orthos
Glamour,39202,897,Eureka Orthos
Glamour,39203,897,Eureka Orthos
Glamour,39204,897,Eureka Orthos
Glamour,39205,897,Eureka Orthos
Glamour,39206,897,Eureka Orthos
Glamour,39207,897,Eureka Orthos
Glamour,39208,897,Eureka Orthos
Glamour,39209,897,Eureka Orthos
Glamour,39210,897,Eureka Orthos
Glamour,39211,897,Eureka Orthos
Glamour,39212,897,Eureka Orthos
Glamour,39213,897,Eureka Orthos
Glamour,39214,897,Eureka Orthos
Glamour,39215,897,Eureka Orthos
Glamour,39216,897,Eureka Orthos
Glamour,39217,897,Eureka Orthos
Glamour,39218,897,Eureka Orthos
Glamour,39219,897,Eureka Orthos
Glamour,39220,897,Eureka Orthos
Glamour,39221,897,Eureka Orthos
Glamour,39222,897,Eureka Orthos
Glamour,39223,897,Eureka Orthos
Glamour,39941,950,The Voidcast Dais (Extreme)
Glamour,39942,950,The Voidcast Dais (Extreme)
Glamour,39943,950,The Voidcast Dais (Extreme)
Glamour,39944,950,The Voidcast Dais (Extreme)
Glamour,39945,950,The Voidcast Dais (Extreme)
Glamour,39946,950,The Voidcast Dais (Extreme)
Glamour,39947,950,The Voidcast Dais (Extreme)
Glamour,39948,950,The Voidcast Dais (Extreme)
Glamour,39949,950,The Voidcast Dais (Extreme)
Glamour,39950,950,The Voidcast Dais (Extreme)
Glamour,39951,950,The Voidcast Dais (Extreme)
Glamour,39952,950,The Voidcast Dais (Extreme)
Glamour,39953,950,The Voidcast Dais (Extreme)
Glamour,39954,950,The Voidcast Dais (Extreme)
Glamour,39955,950,The Voidcast Dais (Extreme)
Glamour,39956,950,The Voidcast Dais (Extreme)
Glamour,39957,950,The Voidcast Dais (Extreme)
Glamour,39958,950,The Voidcast Dais (Extreme)
Glamour,40165,943,Anabaseios: The Twelfth Circle (Savage)
Glamour,40166,943,Anabaseios: The Twelfth Circle (Savage)
Glamour,40168,943,Anabaseios: The Twelfth Circle (Savage)
Glamour,40169,943,Anabaseios: The Twelfth Circle (Savage)
Glamour,40170,943,Anabaseios: The Twelfth Circle (Savage)
Glamour,40171,943,Anabaseios: The Twelfth Circle (Savage)
Glamour,40172,943,Anabaseios: The Twelfth Circle (Savage)
Glamour,40173,943,Anabaseios: The Twelfth Circle (Savage)
Glamour,40174,943,Anabaseios: The Twelfth Circle (Savage)
Glamour,40176,943,Anabaseios: The Twelfth Circle (Savage)
Glamour,40177,943,Anabaseios: The Twelfth Circle (Savage)
Glamour,40178,943,Anabaseios: The Twelfth Circle (Savage)
Glamour,40179,943,Anabaseios: The Twelfth Circle (Savage)
Glamour,40180,943,Anabaseios: The Twelfth Circle (Savage)
Glamour,40181,943,Anabaseios: The Twelfth Circle (Savage)
Glamour,40182,943,Anabaseios: The Twelfth Circle (Savage)
Glamour,40240,822,The Aetherfont
Glamour,40241,822,The Aetherfont
Glamour,40242,822,The Aetherfont
Glamour,40243,822,The Aetherfont
Glamour,40244,822,The Aetherfont
Glamour,40246,822,The Aetherfont
Glamour,40247,822,The Aetherfont
Glamour,40248,822,The Aetherfont
Glamour,40249,822,The Aetherfont
Glamour,40251,822,The Aetherfont
Glamour,40252,822,The Aetherfont
Glamour,40253,822,The Aetherfont
Glamour,40254,822,The Aetherfont
Glamour,40255,822,The Aetherfont
Glamour,40256,822,The Aetherfont
Glamour,40257,822,The Aetherfont
Glamour,40258,822,The Aetherfont
Glamour,40260,822,The Aetherfont
Glamour,40261,822,The Aetherfont
Glamour,40262,822,The Aetherfont
Glamour,40263,822,The Aetherfont
Glamour,40264,822,The Aetherfont
Glamour,40265,822,The Aetherfont
Glamour,40266,822,The Aetherfont
Glamour,40267,822,The Aetherfont
Glamour,40268,822,The Aetherfont
Glamour,40269,822,The Aetherfont
Glamour,40270,822,The Aetherfont
Glamour,40271,822,The Aetherfont
Glamour,40272,822,The Aetherfont
Glamour,40273,822,The Aetherfont
Glamour,40765,823,The Lunar Subterrane
Glamour,40766,823,The Lunar Subterrane
Glamour,40767,823,The Lunar Subterrane
Glamour,40768,823,The Lunar Subterrane
Glamour,40769,823,The Lunar Subterrane
Glamour,40770,823,The Lunar Subterrane
Glamour,40771,823,The Lunar Subterrane
Glamour,40772,823,The Lunar Subterrane
Glamour,40773,823,The Lunar Subterrane
Glamour,40774,823,The Lunar Subterrane
Glamour,40775,823,The Lunar Subterrane
Glamour,40776,823,The Lunar Subterrane
Glamour,40777,823,The Lunar Subterrane
Glamour,40778,823,The Lunar Subterrane
Glamour,40779,823,The Lunar Subterrane
