Collection,ItemId,SourceId,SourceDescription
Bardings,14081,67668,Eggsaltation of a Lark
Bardings,36013,70002,Love's Labors
Emotes,33703,69591,A Token of Thanks
Emotes,36922,70120,A Prickly Plaint
Emotes,39497,70256,Inheritance
Emotes,39500,70258,"Chaos, Carnage, Eggs"
Glamour,38400,70189,Make Another Manderville
Glamour,38400,70188,Make It a Manderville
Glamour,38400,70262,The Next Mander-level
Glamour,38400,70261,Well-oiled
Glamour,38401,70189,Make Another Manderville
Glamour,38401,70188,Make It a Manderville
Glamour,38401,70262,The Next Mander-level
Glamour,38401,70261,Well-oiled
Glamour,38402,70189,Make Another Manderville
Glamour,38402,70188,Make It a Manderville
Glamour,38402,70262,The Next Mander-level
Glamour,38402,70261,Well-oiled
Glamour,38403,70189,Make Another Manderville
Glamour,38403,70188,Make It a Manderville
Glamour,38403,70262,The Next Mander-level
Glamour,38403,70261,Well-oiled
Glamour,38404,70189,Make Another Manderville
Glamour,38404,70188,Make It a Manderville
Glamour,38404,70262,The Next Mander-level
Glamour,38404,70261,Well-oiled
Glamour,38405,70189,Make Another Manderville
Glamour,38405,70188,Make It a Manderville
Glamour,38405,70262,The Next Mander-level
Glamour,38405,70261,Well-oiled
Glamour,38406,70189,Make Another Manderville
Glamour,38406,70188,Make It a Manderville
Glamour,38406,70262,The Next Mander-level
Glamour,38406,70261,Well-oiled
Glamour,38407,70189,Make Another Manderville
Glamour,38407,70188,Make It a Manderville
Glamour,38407,70262,The Next Mander-level
Glamour,38407,70261,Well-oiled
Glamour,38408,70189,Make Another Manderville
Glamour,38408,70188,Make It a Manderville
Glamour,38408,70262,The Next Mander-level
Glamour,38408,70261,Well-oiled
Glamour,38409,70189,Make Another Manderville
Glamour,38409,70188,Make It a Manderville
Glamour,38409,70262,The Next Mander-level
Glamour,38409,70261,Well-oiled
Glamour,38410,70189,Make Another Manderville
Glamour,38410,70188,Make It a Manderville
Glamour,38410,70262,The Next Mander-level
Glamour,38410,70261,Well-oiled
Glamour,38411,70189,Make Another Manderville
Glamour,38411,70188,Make It a Manderville
Glamour,38411,70262,The Next Mander-level
Glamour,38411,70261,Well-oiled
Glamour,38412,70189,Make Another Manderville
Glamour,38412,70188,Make It a Manderville
Glamour,38412,70262,The Next Mander-level
Glamour,38412,70261,Well-oiled
Glamour,38413,70189,Make Another Manderville
Glamour,38413,70188,Make It a Manderville
Glamour,38413,70262,The Next Mander-level
Glamour,38413,70261,Well-oiled
Glamour,38414,70189,Make Another Manderville
Glamour,38414,70188,Make It a Manderville
Glamour,38414,70262,The Next Mander-level
Glamour,38414,70261,Well-oiled
Glamour,38415,70189,Make Another Manderville
Glamour,38415,70188,Make It a Manderville
Glamour,38415,70262,The Next Mander-level
Glamour,38415,70261,Well-oiled
Glamour,38416,70189,Make Another Manderville
Glamour,38416,70188,Make It a Manderville
Glamour,38416,70262,The Next Mander-level
Glamour,38416,70261,Well-oiled
Glamour,38417,70189,Make Another Manderville
Glamour,38417,70188,Make It a Manderville
Glamour,38417,70262,The Next Mander-level
Glamour,38417,70261,Well-oiled
Glamour,38418,70189,Make Another Manderville
Glamour,38418,70188,Make It a Manderville
Glamour,38418,70262,The Next Mander-level
Glamour,38418,70261,Well-oiled
Glamour,38419,70189,Make Another Manderville
Glamour,38419,70188,Make It a Manderville
Glamour,38419,70262,The Next Mander-level
Glamour,38419,70261,Well-oiled
Glamour,38715,70267,A Dedicated Tool
Glamour,38717,70267,A Dedicated Tool
Glamour,38718,70267,A Dedicated Tool
Glamour,38719,70267,A Dedicated Tool
Glamour,38720,70267,A Dedicated Tool
Glamour,38721,70267,A Dedicated Tool
Glamour,38722,70267,A Dedicated Tool
Glamour,38723,70267,A Dedicated Tool
Glamour,38724,70267,A Dedicated Tool
Glamour,38725,70267,A Dedicated Tool
Glamour,38726,70267,A Dedicated Tool
Glamour,38726,70268,An Adaptive Tool
Glamour,38728,70267,A Dedicated Tool
Glamour,38728,70268,An Adaptive Tool
Glamour,38729,70267,A Dedicated Tool
Glamour,38729,70268,An Adaptive Tool
Glamour,38730,70267,A Dedicated Tool
Glamour,38730,70268,An Adaptive Tool
Glamour,38731,70267,A Dedicated Tool
Glamour,38731,70268,An Adaptive Tool
Glamour,38732,70267,A Dedicated Tool
Glamour,38732,70268,An Adaptive Tool
Glamour,38733,70267,A Dedicated Tool
Glamour,38733,70268,An Adaptive Tool
Glamour,38734,70267,A Dedicated Tool
Glamour,38734,70268,An Adaptive Tool
Glamour,38735,70267,A Dedicated Tool
Glamour,38735,70268,An Adaptive Tool
Glamour,38736,70267,A Dedicated Tool
Glamour,38736,70268,An Adaptive Tool
Glamour,38737,70268,An Adaptive Tool
Glamour,38737,70304,A Tool of Her Own
Glamour,38739,70268,An Adaptive Tool
